CustomerID:,661,662,663,664,665,666,667,668,669,670,671,672,673,674,675,676,677,678,679,680,681,682,683,684,685,686,687,688,689,690,691,692,693,694,695,696,697,698,699,700,701,702,703,704,705,706,707,708,709,710,711,712,713,714,715,716,717,718,719,720,
QueueTimeAvg:,17,20,16,23,23,10,16,19,18,16,6,21,17,8,19,14,18,17,19,17,13,15,17,15,15,21,19,16,9,14,20,24,21,18,2,19,24,15,14,7,12,23,14,20,15,9,21,18,20,20,17,18,12,17,16,18,22,17,15,16,
QueueTimeMin:,2,16,6,18,17,7,2,15,8,2,1,16,9,2,2,3,10,9,13,11,5,4,12,3,9,20,19,3,1,4,12,20,19,15,1,12,17,2,5,7,5,21,3,18,3,4,17,12,14,14,4,12,2,5,1,14,21,1,5,2,
QUeueTimeMax:,27,23,22,31,31,13,28,27,23,28,20,29,25,15,27,24,23,25,25,24,25,29,27,30,21,23,20,27,16,35,26,28,24,22,4,26,29,26,23,8,19,25,26,25,24,17,26,21,27,27,30,26,26,23,34,25,24,31,26,26,
