CustomerID:,841,842,843,844,845,846,847,848,849,850,851,852,853,854,855,856,857,858,859,860,861,862,863,864,865,866,867,868,869,870,871,872,873,874,875,876,877,878,879,880,881,882,883,884,885,886,887,888,889,890,891,892,893,894,895,896,897,898,899,900,
QueueTimeAvg:,17,21,22,17,23,22,22,23,26,16,16,23,17,12,2,19,16,16,16,11,13,3,21,18,18,18,21,16,25,18,21,18,14,5,21,25,22,20,25,21,23,23,15,24,18,17,16,23,11,18,24,20,23,18,17,14,19,10,24,2,
QueueTimeMin:,2,8,18,10,11,19,12,16,16,3,11,12,4,6,1,15,2,1,2,3,3,2,9,4,1,10,10,6,15,1,4,11,1,1,7,17,11,16,19,9,15,17,9,17,10,2,1,9,3,13,11,12,13,2,1,3,17,2,23,2,
QUeueTimeMax:,34,31,25,26,36,25,30,32,34,33,22,33,34,18,3,22,37,39,30,26,30,4,36,33,35,26,27,24,35,28,44,30,49,13,34,35,41,26,35,35,34,30,23,31,34,31,32,33,22,24,39,26,33,34,47,30,21,24,25,2,
