CustomerID:,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,
QueueTimeAvg:,49,35,39,53,46,39,31,30,27,40,25,44,33,24,42,24,49,37,40,34,34,32,33,37,18,34,24,38,14,29,39,53,41,31,9,22,44,36,22,6,28,29,30,49,33,35,40,33,25,46,32,25,31,34,56,41,28,35,34,34,
QueueTimeMin:,40,15,3,38,34,18,2,14,1,11,2,33,1,11,12,1,26,18,36,3,10,12,16,4,18,9,10,13,5,5,1,42,1,3,5,13,1,18,3,5,5,2,3,35,2,10,25,2,18,31,5,2,18,6,27,8,10,2,1,5,
QUeueTimeMax:,63,50,63,63,60,61,66,50,56,64,55,54,51,38,75,63,62,57,45,49,64,58,54,65,19,60,39,65,20,67,65,65,61,49,14,31,81,49,49,8,52,56,60,57,64,63,56,58,33,56,65,46,55,71,94,58,46,87,62,53,
