CustomerID:,721,722,723,724,725,726,727,728,729,730,731,732,733,734,735,736,737,738,739,740,741,742,743,744,745,746,747,748,749,750,751,752,753,754,755,756,757,758,759,760,761,762,763,764,765,766,767,768,769,770,771,772,773,774,775,776,777,778,779,780,
QueueTimeAvg:,17,16,18,20,23,7,22,20,20,20,18,22,27,7,15,23,18,18,22,21,13,23,16,9,10,12,15,24,23,15,12,22,20,21,14,6,17,19,17,13,23,21,5,24,22,19,17,22,18,19,13,18,2,18,20,18,17,22,14,16,
QueueTimeMin:,12,8,4,10,13,2,16,8,15,9,8,11,16,2,6,15,7,3,3,19,6,3,11,5,1,6,8,3,16,8,1,19,10,17,8,1,1,7,4,5,20,14,2,24,12,18,3,18,11,8,5,2,1,3,19,11,6,1,4,2,
QUeueTimeMax:,25,25,30,26,32,13,29,27,25,29,28,29,36,14,25,28,26,30,35,25,22,34,20,18,22,18,27,38,30,31,23,25,28,29,26,16,34,26,33,23,26,28,8,25,35,21,34,28,23,28,30,37,6,36,22,32,28,36,23,40,
