CustomerID:,1681,1682,1683,1684,1685,1686,1687,1688,1689,1690,1691,1692,1693,1694,1695,1696,1697,1698,1699,1700,1701,1702,1703,1704,1705,1706,1707,1708,1709,1710,1711,1712,1713,1714,1715,1716,1717,1718,1719,1720,1721,1722,1723,1724,1725,1726,1727,1728,1729,1730,1731,1732,1733,1734,1735,1736,1737,1738,1739,1740,
QueueTimeAvg:,31,6,22,41,16,14,41,21,62,4,30,37,17,17,58,20,24,31,29,10,32,30,29,38,37,19,14,23,14,15,31,11,37,25,14,28,29,19,11,32,25,2,36,15,38,24,14,31,37,21,46,30,13,35,39,7,41,30,27,52,
QueueTimeMin:,1,1,3,4,8,8,6,8,6,3,21,2,7,3,13,5,7,2,2,2,3,1,18,2,13,5,7,3,3,8,7,3,2,1,3,9,1,10,7,1,7,2,2,1,2,4,2,14,1,2,4,7,1,4,1,3,6,5,3,7,
QUeueTimeMax:,112,11,64,107,33,21,110,34,124,5,40,96,39,39,142,34,49,94,101,23,149,96,46,117,89,44,27,69,30,22,71,33,147,77,30,87,84,29,16,103,48,3,126,36,98,47,30,49,91,38,119,103,37,63,132,11,82,80,47,140,
