StallID:,79,80,81,82,83,84,85,86,87,88,89,90,
QueueLengthAvs,8,0,2,0,3,0,1,0,3,0,0,0,
QueueLengthMin:,0,0,0,0,0,0,0,0,0,0,0,0,
QueueLengthMax:,17,3,7,4,7,5,7,4,8,3,3,2,
