CustomerID:,1081,1082,1083,1084,1085,1086,1087,1088,1089,1090,1091,1092,1093,1094,1095,1096,1097,1098,1099,1100,1101,1102,1103,1104,1105,1106,1107,1108,1109,1110,1111,1112,1113,1114,1115,1116,1117,1118,1119,1120,1121,1122,1123,1124,1125,1126,1127,1128,1129,1130,1131,1132,1133,1134,1135,1136,1137,1138,1139,1140,
QueueTimeAvg:,79,4,32,34,47,20,22,49,43,6,55,52,3,30,28,42,40,34,76,46,32,31,41,36,17,28,39,66,47,33,16,24,48,63,37,29,68,9,47,32,30,7,84,33,47,36,33,8,50,31,46,25,35,18,89,11,33,27,35,36,
QueueTimeMin:,77,3,2,2,18,20,1,14,14,6,9,2,1,8,2,2,3,2,64,8,1,1,12,10,1,7,5,42,17,12,1,2,1,48,5,2,53,5,32,1,11,6,82,11,13,1,3,7,4,2,1,1,10,1,82,2,3,2,6,1,
QUeueTimeMax:,82,5,87,96,91,20,66,82,97,7,101,95,5,81,74,93,83,82,89,87,93,98,92,76,48,83,92,89,80,55,47,97,105,79,74,85,84,13,62,98,78,8,87,77,101,97,83,10,88,103,99,85,76,34,97,16,83,67,76,99,
