CustomerID:,361,362,363,364,365,366,367,368,369,370,371,372,373,374,375,376,377,378,379,380,381,382,383,384,385,386,387,388,389,390,391,392,393,394,395,396,397,398,399,400,401,402,403,404,405,406,407,408,409,410,411,412,413,414,415,416,417,418,419,420,
QueueTimeAvg:,23,10,30,33,18,37,19,9,18,22,8,36,21,6,30,12,11,29,30,9,25,24,11,28,12,6,11,22,5,24,28,7,29,18,5,20,41,9,12,3,4,20,18,11,25,23,12,19,18,10,27,15,7,22,25,14,12,24,9,25,
QueueTimeMin:,1,2,4,12,10,19,1,6,1,2,5,13,2,5,10,5,5,8,19,1,7,4,2,3,2,4,4,2,4,4,1,5,2,2,1,4,4,4,4,1,3,5,2,10,2,10,11,2,4,3,3,4,1,3,2,4,5,3,3,10,
QUeueTimeMax:,61,18,64,64,29,56,46,15,47,58,15,74,49,8,74,23,15,61,41,13,60,54,22,56,23,9,18,49,6,75,69,9,67,37,9,36,79,16,19,5,6,36,54,14,57,30,14,42,33,18,77,26,16,53,88,28,20,84,22,44,
