CustomerID:,1021,1022,1023,1024,1025,1026,1027,1028,1029,1030,1031,1032,1033,1034,1035,1036,1037,1038,1039,1040,1041,1042,1043,1044,1045,1046,1047,1048,1049,1050,1051,1052,1053,1054,1055,1056,1057,1058,1059,1060,1061,1062,1063,1064,1065,1066,1067,1068,1069,1070,1071,1072,1073,1074,1075,1076,1077,1078,1079,1080,
QueueTimeAvg:,19,40,34,20,42,4,17,36,31,24,42,33,42,7,26,23,23,32,33,30,14,33,34,16,13,12,32,35,35,30,21,33,16,21,30,29,36,13,36,10,38,42,3,38,28,54,29,40,28,37,12,27,8,33,35,32,36,34,31,32,
QueueTimeMin:,3,2,2,8,6,1,17,13,8,1,19,22,1,4,2,2,5,1,2,13,3,1,5,2,1,7,2,1,15,3,1,15,6,1,10,2,1,7,4,4,13,17,2,20,3,47,10,16,2,10,3,1,3,2,2,16,2,3,11,2,
QUeueTimeMax:,55,81,73,32,65,9,18,59,54,59,67,57,80,12,59,62,55,82,62,58,22,66,84,43,37,17,81,79,56,82,59,52,24,45,59,82,78,19,57,20,86,83,5,57,71,62,61,87,61,80,24,61,20,85,57,64,76,71,56,82,
