CustomerID:,1621,1622,1623,1624,1625,1626,1627,1628,1629,1630,1631,1632,1633,1634,1635,1636,1637,1638,1639,1640,1641,1642,1643,1644,1645,1646,1647,1648,1649,1650,1651,1652,1653,1654,1655,1656,1657,1658,1659,1660,1661,1662,1663,1664,1665,1666,1667,1668,1669,1670,1671,1672,1673,1674,1675,1676,1677,1678,1679,1680,
QueueTimeAvg:,43,10,37,27,10,18,29,20,15,36,25,18,33,5,37,58,19,48,38,15,16,47,22,10,30,17,32,48,15,43,32,16,39,33,21,34,48,25,32,21,19,50,11,19,75,19,20,56,31,24,31,36,11,54,44,20,24,31,12,45,
QueueTimeMin:,19,2,6,4,6,3,28,10,8,3,9,5,1,2,4,36,5,12,2,8,10,3,7,6,5,13,5,2,10,37,9,16,7,4,3,6,1,4,8,10,13,15,8,7,46,11,5,41,6,17,1,2,4,9,3,4,6,1,6,3,
QUeueTimeMax:,67,20,79,60,13,40,30,34,23,67,48,39,82,9,72,91,30,131,77,21,27,98,54,17,73,22,74,123,20,55,77,17,79,70,60,117,111,44,99,30,27,109,15,31,105,28,52,79,56,28,63,73,22,93,69,55,37,77,24,130,
