CustomerID:,481,482,483,484,485,486,487,488,489,490,491,492,493,494,495,496,497,498,499,500,501,502,503,504,505,506,507,508,509,510,511,512,513,514,515,516,517,518,519,520,521,522,523,524,525,526,527,528,529,530,531,532,533,534,535,536,537,538,539,540,
QueueTimeAvg:,28,4,23,29,14,16,19,11,40,6,10,36,5,10,39,23,13,22,28,14,23,20,17,26,17,11,21,26,12,20,12,7,34,27,10,16,28,6,25,22,11,6,29,9,27,20,12,11,40,9,30,15,10,12,35,9,25,17,12,31,
QueueTimeMin:,2,3,5,2,10,15,5,2,13,5,4,2,4,2,12,4,7,6,3,10,1,2,8,5,16,4,9,2,12,7,1,3,7,2,3,1,2,4,13,1,3,6,2,1,14,2,6,10,16,5,9,2,4,2,9,3,2,14,1,6,
QUeueTimeMax:,74,6,51,70,22,17,41,17,90,7,17,59,6,16,92,39,21,56,66,19,61,42,28,45,20,23,38,40,14,33,23,20,87,49,18,36,52,9,37,42,17,6,82,17,41,40,22,13,54,16,79,31,22,24,84,16,58,20,18,90,
