CustomerID:,1501,1502,1503,1504,1505,1506,1507,1508,1509,1510,1511,1512,1513,1514,1515,1516,1517,1518,1519,1520,1521,1522,1523,1524,1525,1526,1527,1528,1529,1530,1531,1532,1533,1534,1535,1536,1537,1538,1539,1540,1541,1542,1543,1544,1545,1546,1547,1548,1549,1550,1551,1552,1553,1554,1555,1556,1557,1558,1559,1560,
QueueTimeAvg:,52,32,29,25,12,30,21,12,5,45,17,26,71,24,52,26,5,45,75,21,38,32,8,32,31,27,36,30,15,23,53,21,23,30,21,125,37,24,49,42,11,24,26,22,29,35,17,18,7,17,48,55,21,47,23,28,55,59,16,41,
QueueTimeMin:,5,11,6,6,9,2,6,5,2,3,5,18,13,4,3,1,2,2,71,4,2,31,4,6,1,10,4,2,5,19,13,5,2,1,8,125,3,13,10,2,9,3,1,5,25,5,4,6,1,1,2,21,12,17,8,6,3,21,3,2,
QUeueTimeMax:,134,74,92,52,16,96,34,19,7,117,31,35,129,85,94,76,9,107,79,71,97,36,14,68,101,65,98,48,25,27,94,54,83,96,36,125,59,35,117,109,14,44,81,67,32,119,29,26,13,46,100,89,38,78,35,70,106,125,30,115,
