CustomerID:,421,422,423,424,425,426,427,428,429,430,431,432,433,434,435,436,437,438,439,440,441,442,443,444,445,446,447,448,449,450,451,452,453,454,455,456,457,458,459,460,461,462,463,464,465,466,467,468,469,470,471,472,473,474,475,476,477,478,479,480,
QueueTimeAvg:,18,14,25,17,14,6,14,12,31,24,10,40,37,5,21,27,11,28,29,14,10,24,9,15,12,9,22,29,11,23,17,21,21,25,10,26,28,10,24,10,16,33,5,13,24,28,9,30,22,6,13,23,5,37,22,11,31,30,9,28,
QueueTimeMin:,2,6,5,13,3,2,4,4,14,1,3,23,10,4,1,2,4,2,4,14,4,5,5,3,3,2,4,4,9,3,1,15,17,19,4,5,3,4,7,2,13,2,4,11,2,28,4,2,2,2,1,1,3,11,3,3,19,3,1,2,
QUeueTimeMax:,29,22,51,24,26,12,25,22,49,51,18,64,59,7,49,58,20,69,58,15,19,63,13,34,29,16,62,73,14,53,46,27,30,34,17,66,71,20,46,19,21,68,7,15,67,28,24,67,54,10,33,54,9,71,46,20,56,60,19,78,
