StallID:,67,68,69,70,71,72,73,74,75,76,77,78,
QueueLengthAvs,6,0,4,0,3,0,2,0,1,0,0,0,
QueueLengthMin:,0,0,0,0,0,0,0,0,0,0,0,0,
QueueLengthMax:,19,5,10,4,8,3,5,3,5,4,4,3,
