CustomerID:,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,
QueueTimeAvg:,51,34,46,35,52,43,52,41,48,34,37,40,34,31,5,31,39,49,34,28,35,7,45,34,61,17,40,33,34,42,46,43,34,17,38,55,45,36,39,43,47,51,31,55,40,51,30,45,24,38,45,42,48,41,65,41,39,21,36,5,
QueueTimeMin:,27,9,18,2,31,31,33,13,9,2,16,8,3,15,3,1,2,21,2,1,1,5,5,3,48,2,15,18,8,1,1,22,5,1,5,47,8,16,2,7,34,48,3,31,3,21,4,7,3,27,22,33,30,1,39,8,27,2,20,4,
QUeueTimeMax:,66,59,59,59,77,56,64,55,83,75,58,78,68,47,7,57,86,100,62,73,64,10,78,77,81,32,55,60,63,63,91,64,82,47,59,60,87,56,79,81,57,54,51,81,68,69,62,74,59,49,81,47,59,74,99,102,51,56,53,6,
