CustomerID:,1141,1142,1143,1144,1145,1146,1147,1148,1149,1150,1151,1152,1153,1154,1155,1156,1157,1158,1159,1160,1161,1162,1163,1164,1165,1166,1167,1168,1169,1170,1171,1172,1173,1174,1175,1176,1177,1178,1179,1180,1181,1182,1183,1184,1185,1186,1187,1188,1189,1190,1191,1192,1193,1194,1195,1196,1197,1198,1199,1200,
QueueTimeAvg:,29,22,35,22,55,28,51,37,61,30,32,43,27,21,2,18,42,39,27,23,31,4,37,35,32,26,15,27,27,29,46,33,32,12,24,55,42,37,50,41,48,36,19,50,29,31,34,43,16,15,51,21,43,41,64,32,27,13,17,2,
QueueTimeMin:,1,1,18,3,12,27,37,14,13,1,5,1,2,6,1,6,8,2,1,1,13,4,4,2,1,7,3,1,6,1,1,7,2,2,8,48,3,16,4,1,13,14,2,14,2,1,1,7,1,10,15,14,19,2,6,3,11,4,15,1,
QUeueTimeMax:,69,60,61,47,111,29,59,59,115,87,65,115,69,37,3,37,108,106,66,67,68,5,106,105,94,50,22,64,71,75,112,63,104,25,61,67,101,70,106,98,120,58,29,102,73,82,110,116,26,21,101,29,58,117,117,84,43,26,20,3,
