CustomerID:,1381,1382,1383,1384,1385,1386,1387,1388,1389,1390,1391,1392,1393,1394,1395,1396,1397,1398,1399,1400,1401,1402,1403,1404,1405,1406,1407,1408,1409,1410,1411,1412,1413,1414,1415,1416,1417,1418,1419,1420,1421,1422,1423,1424,1425,1426,1427,1428,1429,1430,1431,1432,1433,1434,1435,1436,1437,1438,1439,1440,
QueueTimeAvg:,26,4,21,25,14,10,18,14,40,2,14,37,3,10,31,23,11,25,25,13,16,17,14,28,12,11,19,23,15,21,12,6,36,23,10,15,25,7,24,20,10,6,27,9,28,20,9,9,40,9,30,14,9,10,34,6,27,16,11,32,
QueueTimeMin:,1,4,5,2,7,10,2,9,8,1,10,1,1,1,2,1,4,4,2,9,1,1,8,9,5,7,5,2,5,13,8,4,4,1,3,1,1,3,16,1,6,6,1,3,9,3,5,8,1,2,1,3,5,10,2,1,5,11,7,2,
QUeueTimeMax:,89,5,47,81,19,11,44,20,102,4,19,73,5,18,85,40,19,47,77,26,42,38,25,62,22,15,33,50,27,30,18,12,108,56,21,39,62,11,33,48,21,6,98,16,43,37,13,10,68,18,95,34,17,12,101,12,68,28,27,109,
