CustomerID:,1561,1562,1563,1564,1565,1566,1567,1568,1569,1570,1571,1572,1573,1574,1575,1576,1577,1578,1579,1580,1581,1582,1583,1584,1585,1586,1587,1588,1589,1590,1591,1592,1593,1594,1595,1596,1597,1598,1599,1600,1601,1602,1603,1604,1605,1606,1607,1608,1609,1610,1611,1612,1613,1614,1615,1616,1617,1618,1619,1620,
QueueTimeAvg:,34,20,38,25,13,19,29,45,35,32,22,57,17,14,37,35,12,38,32,28,35,23,39,39,66,57,23,31,26,42,53,17,51,51,10,86,58,38,22,8,9,75,22,14,41,17,10,44,24,11,38,32,26,50,34,46,52,47,31,25,
QueueTimeMin:,1,11,7,1,9,7,2,10,9,1,3,13,1,11,2,3,4,7,3,3,3,11,3,2,36,20,10,2,9,5,5,16,10,9,4,53,3,4,6,6,6,35,10,4,10,8,8,10,6,3,14,9,4,3,1,12,52,5,4,2,
QUeueTimeMax:,87,36,88,93,19,32,69,105,102,82,78,111,47,17,107,114,25,103,62,108,104,35,137,108,97,94,37,75,56,137,102,19,119,113,26,120,114,136,49,11,12,116,43,31,117,30,13,68,43,20,82,70,62,131,130,131,53,123,127,56,
