CustomerID:,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,
QueueTimeAvg:,32,41,38,35,39,7,24,39,47,38,39,50,55,19,30,40,44,39,53,55,14,49,36,13,27,22,31,62,48,33,29,45,40,36,30,32,37,38,36,24,48,36,5,54,36,38,29,32,39,31,25,49,18,44,33,32,52,54,34,38,
QueueTimeMin:,1,11,5,17,24,2,1,11,32,1,13,35,34,4,1,3,10,4,43,45,6,11,17,1,4,7,1,50,31,10,2,39,31,24,12,5,4,12,10,2,34,4,5,42,1,32,1,3,2,10,3,39,3,25,1,12,17,39,12,3,
QUeueTimeMax:,56,61,71,59,59,17,48,56,62,63,54,65,78,43,59,61,64,62,68,67,23,66,56,29,67,38,75,74,66,68,71,52,57,53,61,62,72,68,67,55,62,64,6,67,71,44,63,57,64,65,61,69,54,56,54,55,78,74,58,79,
