CustomerID:,781,782,783,784,785,786,787,788,789,790,791,792,793,794,795,796,797,798,799,800,801,802,803,804,805,806,807,808,809,810,811,812,813,814,815,816,817,818,819,820,821,822,823,824,825,826,827,828,829,830,831,832,833,834,835,836,837,838,839,840,
QueueTimeAvg:,19,1,16,20,17,10,15,22,22,3,30,23,2,19,23,15,20,18,19,22,10,15,22,21,13,16,13,18,22,17,7,8,23,19,21,18,19,9,20,17,18,3,19,13,21,17,12,6,26,12,19,10,16,13,23,15,18,17,16,21,
QueueTimeMin:,3,1,5,1,13,4,1,14,5,3,9,9,1,15,7,2,15,10,3,13,1,2,16,9,6,3,5,2,16,8,3,2,9,3,8,5,3,6,18,2,13,3,3,1,17,1,4,4,21,1,3,2,4,8,6,4,4,12,5,2,
QUeueTimeMax:,43,2,24,42,22,17,23,35,51,4,52,36,4,24,40,26,32,22,38,32,24,26,31,33,19,37,26,31,35,26,18,19,55,29,34,28,31,12,23,30,26,4,48,45,25,26,17,8,34,22,46,19,33,17,49,37,32,22,29,52,
