CustomerID:,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,
QueueTimeAvg:,63,18,42,38,49,33,33,44,46,8,62,43,8,37,55,28,38,37,62,43,29,51,49,41,37,36,42,58,50,24,27,31,50,60,38,38,62,32,49,53,37,6,72,28,47,38,43,15,60,35,67,30,41,25,76,44,40,38,37,43,
QueueTimeMin:,52,5,11,2,43,16,4,14,13,8,39,1,4,14,31,2,8,6,52,26,1,26,44,6,14,6,8,42,48,12,2,5,15,48,9,6,51,18,40,33,10,6,58,5,42,2,12,9,56,1,52,3,8,1,62,11,2,26,8,4,
QUeueTimeMax:,77,38,59,72,60,50,57,67,87,9,86,63,16,55,85,56,59,55,69,53,65,74,54,61,48,51,72,76,52,36,55,53,92,74,59,55,73,47,58,68,57,7,87,52,53,65,72,22,64,54,82,60,70,53,91,83,70,51,56,85,
