CustomerID:,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,
QueueTimeAvg:,26,12,22,17,12,26,27,18,7,27,5,26,62,10,35,30,6,25,24,11,23,24,9,20,37,12,23,22,16,5,29,12,23,25,12,29,25,13,34,29,8,21,29,9,15,14,14,11,7,8,28,36,5,33,34,14,24,27,15,24,
QueueTimeMin:,4,4,3,3,8,7,11,14,5,1,2,23,44,3,21,11,4,3,1,3,2,2,5,2,17,4,5,1,11,5,19,2,3,3,5,1,2,5,11,3,2,9,5,3,7,4,4,4,2,3,6,3,1,31,25,1,3,27,15,19,
QUeueTimeMax:,42,22,34,26,16,75,42,22,11,72,7,29,81,19,48,51,8,42,47,15,45,34,16,38,65,21,43,37,21,6,39,22,48,62,17,78,41,21,71,69,14,31,53,17,24,30,26,19,15,17,80,59,11,35,41,20,39,29,16,30,
