StallID:,240,241,242,243,244,245,246,247,248,249,250,
QueueLengthAvs,11,1,0,1,0,1,0,10,0,0,4,
QueueLengthMin:,0,0,0,0,0,0,0,0,0,0,0,
QueueLengthMax:,18,5,3,5,3,6,4,14,3,3,10,
