CustomerID:,1321,1322,1323,1324,1325,1326,1327,1328,1329,1330,1331,1332,1333,1334,1335,1336,1337,1338,1339,1340,1341,1342,1343,1344,1345,1346,1347,1348,1349,1350,1351,1352,1353,1354,1355,1356,1357,1358,1359,1360,1361,1362,1363,1364,1365,1366,1367,1368,1369,1370,1371,1372,1373,1374,1375,1376,1377,1378,1379,1380,
QueueTimeAvg:,17,7,26,18,15,4,9,14,26,21,11,26,31,5,24,27,11,26,21,15,10,23,11,11,14,6,24,26,15,19,15,14,14,22,11,16,26,8,25,4,16,40,4,17,20,30,7,37,20,9,8,16,5,37,25,12,26,25,12,25,
QueueTimeMin:,3,4,2,9,7,1,8,4,8,1,3,14,3,4,7,4,6,1,1,10,3,1,2,2,2,5,3,1,14,2,1,12,9,14,4,2,2,5,6,3,14,2,3,16,1,25,2,8,7,8,3,2,3,5,2,6,3,3,3,1,
QUeueTimeMax:,38,11,45,33,23,7,10,22,45,44,18,43,62,7,57,72,19,76,46,20,18,78,22,29,28,8,50,93,17,45,40,16,17,34,15,50,88,11,49,5,19,91,5,18,83,36,14,93,52,12,13,40,10,101,54,18,50,59,18,98,
