CustomerID:,601,602,603,604,605,606,607,608,609,610,611,612,613,614,615,616,617,618,619,620,621,622,623,624,625,626,627,628,629,630,631,632,633,634,635,636,637,638,639,640,641,642,643,644,645,646,647,648,649,650,651,652,653,654,655,656,657,658,659,660,
QueueTimeAvg:,19,19,19,12,15,17,11,23,1,19,19,26,29,17,21,24,9,20,21,16,16,17,13,17,22,19,19,18,12,8,18,13,17,17,20,20,19,23,22,19,15,19,20,12,23,9,22,8,10,18,16,23,17,25,22,22,17,23,27,20,
QueueTimeMin:,13,16,5,4,8,6,1,23,1,1,9,25,26,11,15,16,3,6,16,11,6,6,4,11,13,15,4,10,8,4,9,2,4,1,17,8,14,19,16,12,8,8,14,1,18,1,20,4,4,5,4,20,8,24,18,19,8,22,26,14,
QUeueTimeMax:,23,28,32,29,22,28,27,24,2,30,29,28,32,22,34,32,20,34,27,21,33,30,25,29,36,23,33,27,17,13,28,31,27,32,24,33,27,27,34,27,22,28,35,20,29,28,23,14,23,27,30,27,26,26,26,26,25,26,29,26,
