CustomerID:,901,902,903,904,905,906,907,908,909,910,911,912,913,914,915,916,917,918,919,920,921,922,923,924,925,926,927,928,929,930,931,932,933,934,935,936,937,938,939,940,941,942,943,944,945,946,947,948,949,950,951,952,953,954,955,956,957,958,959,960,
QueueTimeAvg:,25,33,18,18,10,30,18,20,5,27,40,34,44,28,44,40,38,24,30,27,28,18,35,26,42,26,33,28,16,6,13,31,30,28,31,35,31,54,39,32,13,18,33,28,22,14,33,11,12,24,29,25,43,19,32,33,23,21,25,34,
QueueTimeMin:,2,12,1,8,7,2,4,19,5,1,9,24,2,8,9,6,4,2,12,11,8,2,2,2,1,13,2,2,11,4,9,2,2,1,16,2,1,11,2,2,6,15,3,1,14,1,16,6,2,3,1,3,14,14,2,18,6,5,11,4,
QUeueTimeMax:,56,84,52,34,13,90,45,22,6,81,91,44,86,58,80,69,94,53,48,59,74,54,95,62,74,55,76,51,22,9,18,86,70,75,59,85,53,97,74,78,21,21,69,74,34,48,58,19,23,64,91,64,92,25,61,48,53,52,40,79,
