CustomerID:,1201,1202,1203,1204,1205,1206,1207,1208,1209,1210,1211,1212,1213,1214,1215,1216,1217,1218,1219,1220,1221,1222,1223,1224,1225,1226,1227,1228,1229,1230,1231,1232,1233,1234,1235,1236,1237,1238,1239,1240,1241,1242,1243,1244,1245,1246,1247,1248,1249,1250,1251,1252,1253,1254,1255,1256,1257,1258,1259,1260,
QueueTimeAvg:,23,16,16,14,8,22,18,17,6,20,13,27,45,13,36,22,6,20,28,13,20,17,7,17,30,11,25,24,13,9,13,11,22,18,16,27,26,17,30,22,11,13,21,13,17,12,12,7,5,8,21,28,15,13,27,12,13,21,18,24,
QueueTimeMin:,4,9,4,8,8,1,6,15,5,2,7,22,3,6,8,3,4,4,6,5,1,2,4,2,6,9,9,3,9,6,9,2,10,1,11,2,2,15,1,1,11,11,2,6,9,7,8,3,2,2,2,2,3,10,21,5,2,9,10,13,
QUeueTimeMax:,44,27,36,21,9,93,34,19,7,81,23,33,88,23,71,53,9,34,50,23,30,40,17,35,70,13,57,35,17,12,17,20,34,67,22,87,40,19,70,76,12,15,56,27,24,25,16,14,10,19,93,62,33,17,38,19,24,36,27,31,
