CustomerID:,541,542,543,544,545,546,547,548,549,550,551,552,553,554,555,556,557,558,559,560,561,562,563,564,565,566,567,568,569,570,571,572,573,574,575,576,577,578,579,580,581,582,583,584,585,586,587,588,589,590,591,592,593,594,595,596,597,598,599,600,
QueueTimeAvg:,25,7,35,25,11,25,30,11,41,24,9,36,22,12,5,16,12,25,20,4,21,6,11,31,27,5,27,22,11,24,32,17,27,15,10,36,30,10,35,28,13,25,24,15,23,26,9,36,17,9,34,33,14,25,26,4,22,16,15,4,
QueueTimeMin:,4,3,6,3,9,15,28,5,5,3,2,4,1,4,5,3,4,3,2,2,1,5,7,3,4,4,10,11,3,2,1,12,6,1,2,31,4,2,2,4,6,19,1,14,1,2,2,4,1,7,9,26,9,2,4,3,18,3,8,4,
QUeueTimeMax:,47,19,77,39,13,35,34,18,88,69,17,95,53,20,6,27,27,94,39,8,36,8,14,87,75,7,45,30,18,59,88,26,92,42,18,44,83,19,80,79,21,32,49,17,57,66,17,87,40,11,83,42,17,92,94,5,27,46,22,5,
