StallID:,196,197,198,199,200,201,202,203,204,205,206,
QueueLengthAvs,7,0,0,1,0,2,0,10,0,0,6,
QueueLengthMin:,0,0,0,0,0,0,0,0,0,0,0,
QueueLengthMax:,17,4,4,8,5,6,3,14,3,3,13,
