StallID:,151,152,153,154,155,156,157,158,159,
QueueLengthAvs,5,0,2,0,2,0,2,1,0,
QueueLengthMin:,0,0,0,0,0,0,0,0,0,
QueueLengthMax:,16,5,7,4,8,4,9,7,5,
