StallID:,229,230,231,232,233,234,235,236,237,238,239,
QueueLengthAvs,11,1,0,1,0,2,0,9,0,0,3,
QueueLengthMin:,0,0,0,0,0,0,0,0,0,0,0,
QueueLengthMax:,20,6,4,5,3,5,3,13,4,3,8,
