CustomerID:,1261,1262,1263,1264,1265,1266,1267,1268,1269,1270,1271,1272,1273,1274,1275,1276,1277,1278,1279,1280,1281,1282,1283,1284,1285,1286,1287,1288,1289,1290,1291,1292,1293,1294,1295,1296,1297,1298,1299,1300,1301,1302,1303,1304,1305,1306,1307,1308,1309,1310,1311,1312,1313,1314,1315,1316,1317,1318,1319,1320,
QueueTimeAvg:,21,16,32,32,15,40,18,12,21,20,7,38,21,7,26,15,8,29,30,11,25,20,11,29,21,11,14,20,5,25,26,13,30,25,4,26,45,14,18,1,5,16,15,12,25,19,11,27,30,13,27,23,6,20,25,11,11,18,10,23,
QueueTimeMin:,1,10,12,1,15,22,1,8,2,1,4,9,2,6,1,4,3,8,19,7,4,2,6,1,18,8,7,3,2,2,3,10,5,3,3,17,3,9,14,1,4,14,2,8,1,10,4,3,16,8,2,19,1,1,1,8,9,1,5,1,
QUeueTimeMax:,62,24,88,65,16,59,51,14,42,59,14,96,65,8,75,22,12,79,41,17,63,60,18,69,25,15,22,54,7,91,72,16,86,49,5,36,80,25,24,1,6,18,59,16,67,35,18,56,44,22,90,29,13,55,90,16,13,85,19,50,
