CustomerID:,961,962,963,964,965,966,967,968,969,970,971,972,973,974,975,976,977,978,979,980,981,982,983,984,985,986,987,988,989,990,991,992,993,994,995,996,997,998,999,1000,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012,1013,1014,1015,1016,1017,1018,1019,1020,
QueueTimeAvg:,28,15,38,43,46,45,26,14,28,27,12,36,29,4,62,16,48,27,57,39,27,21,34,34,20,18,27,27,5,24,25,47,39,20,6,26,50,26,21,1,33,20,24,45,29,22,33,23,29,40,30,27,13,31,29,30,12,27,31,31,
QueueTimeMin:,1,4,16,4,17,23,1,9,2,1,4,13,1,4,51,1,6,6,42,12,2,4,10,3,15,17,10,2,2,2,1,15,8,1,5,16,3,4,19,1,8,17,1,15,3,10,7,5,18,14,2,2,13,2,2,9,10,1,3,1,
QUeueTimeMax:,64,36,75,67,66,68,64,19,73,63,38,80,61,5,75,35,74,68,73,67,66,54,65,69,26,20,44,64,9,77,72,80,67,44,8,36,80,66,24,1,58,24,70,71,69,32,60,49,40,70,83,52,14,63,87,74,15,83,74,65,
