CustomerID:,1441,1442,1443,1444,1445,1446,1447,1448,1449,1450,1451,1452,1453,1454,1455,1456,1457,1458,1459,1460,1461,1462,1463,1464,1465,1466,1467,1468,1469,1470,1471,1472,1473,1474,1475,1476,1477,1478,1479,1480,1481,1482,1483,1484,1485,1486,1487,1488,1489,1490,1491,1492,1493,1494,1495,1496,1497,1498,1499,1500,
QueueTimeAvg:,18,8,36,21,21,17,30,12,49,21,13,35,19,10,1,13,13,21,17,4,19,5,15,32,22,17,11,19,16,20,31,17,24,13,11,33,30,14,42,29,18,25,17,17,19,20,11,34,15,12,35,19,14,24,23,8,19,12,10,2,
QueueTimeMin:,1,4,8,2,11,14,22,7,9,1,6,2,2,8,1,9,5,2,1,1,9,5,3,2,1,7,2,6,8,1,2,12,2,3,5,20,2,2,5,1,10,13,10,7,1,1,3,7,5,6,11,12,7,1,1,4,6,7,10,1,
QUeueTimeMax:,49,15,80,34,30,21,36,25,101,78,23,100,55,12,2,19,26,72,38,10,33,5,26,95,85,26,18,30,24,64,98,23,99,25,18,45,92,22,96,87,24,38,25,24,60,70,22,96,29,18,96,28,21,99,103,11,33,21,10,3,
